"type","listed_in","release_year","total_titles"
TV Show,TV Action & Adventure,2012,1
TV Show,TV Comedies,1972,1
Movie,Action & Adventure,1971,1
TV Show,TV Action & Adventure,2001,1
Movie,Classic Movies,1946,1
Movie,Children & Family Movies,1978,1
TV Show,TV Shows,1994,1
TV Show,TV Mysteries,2013,1
Movie,Dramas,1959,1
Movie,International Movies,1967,1
Movie,Cult Movies,1987,1
Movie,Movies,2019,1
Movie,Horror Movies,2001,1
TV Show,Science & Nature TV,2007,1
TV Show,Anime Series,1995,1
TV Show,Romantic TV Shows,2007,1
TV Show,Spanish-Language TV Shows,2014,1
Movie,Comedies,1954,1
TV Show,Docuseries,1988,1
TV Show,International TV Shows,1972,1
Movie,International Movies,1964,1
TV Show,Anime Series,1985,1
Movie,Comedies,1970,1
TV Show,TV Action & Adventure,2003,1
TV Show,Classic & Cult TV,1992,1
Movie,Sci-Fi & Fantasy,1993,1
TV Show,TV Action & Adventure,1999,1
TV Show,TV Shows,1925,1
Movie,Cult Movies,1992,1
Movie,Action & Adventure,1972,1
Movie,International Movies,1954,1
Movie,Cult Movies,1997,1
Movie,Music & Musicals,1981,1
Movie,Horror Movies,1977,1
Movie,Classic Movies,1987,1
Movie,Music & Musicals,1964,1
Movie,Action & Adventure,1991,1
Movie,Classic Movies,1947,1
Movie,Sports Movies,1994,1
Movie,Independent Movies,1978,1
Movie,Dramas,1956,1
TV Show,Classic & Cult TV,2007,1
Movie,Music & Musicals,1973,1
Movie,Documentaries,1946,1
Movie,International Movies,1958,1
Movie,Dramas,1970,1
TV Show,Classic & Cult TV,1979,1
Movie,Thrillers,1978,1
Movie,International Movies,1968,1
Movie,Sports Movies,1985,1
Movie,Cult Movies,2017,1
Movie,Sports Movies,2002,1
TV Show,Anime Series,1999,1
Movie,Anime Features,2006,1
TV Show,Docuseries,1990,1
TV Show,TV Action & Adventure,2011,1
TV Show,TV Comedies,1967,1
Movie,Classic Movies,1970,1
Movie,Music & Musicals,1978,1
TV Show,Anime Series,1981,1
Movie,International Movies,1959,1
Movie,Romantic Movies,1982,1
TV Show,Docuseries,1996,1
Movie,Romantic Movies,1976,1
TV Show,Kids' TV,2006,1
Movie,Movies,2004,1
TV Show,Teen TV Shows,2011,1
Movie,Dramas,1954,1
TV Show,Romantic TV Shows,2005,1
TV Show,TV Sci-Fi & Fantasy,2013,1
Movie,Independent Movies,1988,1
Movie,Children & Family Movies,1992,1
TV Show,TV Thrillers,2013,1
Movie,Faith & Spirituality,2010,1
TV Show,Classic & Cult TV,2017,1
Movie,Faith & Spirituality,2007,1
TV Show,Kids' TV,1994,1
Movie,Horror Movies,1985,1
Movie,Thrillers,1994,1
Movie,Music & Musicals,1990,1
TV Show,Kids' TV,1989,1
TV Show,TV Action & Adventure,2005,1
Movie,Documentaries,1977,1
Movie,LGBTQ Movies,2008,1
